sentence,language
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,English
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile. It doesn't matter what one's political views are because this film can hardly be taken seriously on any level. As for the claim that frontal male nudity is",English
If only to avoid making this type of film in the future.,English
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo. Apart from that, what strikes me most",English
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??"" ...I was just an early teen when this smoked fish hit the U.S. I",English
"I would put this at the top of my list of films in the category of unwatchable trash! There are films that are bad, but the worst kind are the ones that are unwatchable but you are",English
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography. I've never seen so many mistakes in a biopic, ranging from",English
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille",English
Who are,English
This is said to be a personal film for Peter Bogdonavitch. He based it on his life,English
"It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn. They looked quite wonderful. But that",English
"I can't believe that those praising this movie herein aren't thinking of some other film. I was prepared for the possibility that this would be awful, but the script (or lack",English
"Never cast models and Playboy bunnies in your films! Bob Fosse's ""Star 80"" about Dorothy Stratten,",English
"Its not the cast. A finer group of actors, you could not find. Its not the setting. The director is in love with New York City, and by the end of the film, so are we all! Woody Allen could not improve upon",English
"Today I found ""They All Laughed"" on VHS on sale in a rental. It was a really old and very used VHS, I had no information about this movie, but I liked the references listed on its cover: the names of",English
"This film is just plain horrible. John Ritter doing pratt falls, 75% of the actors delivering their lines as if",English
"My interest in Dorothy Stratten caused me to purchase this video. Although it had great actors/actresses, there were just too",English
I have this film out of the library right now and I haven't finished watching it. It is so bad I am,English
"I think I will make a movie next weekend. Oh wait, I'm working..oh I'm sure I can fit it in. It looks like whoever made this film fit it in. I hope the makers of this crap have day jobs because this film sucked!!! It looks like someones",English
Pros: Nothing<br /><br />Cons: Everything<br /><br />Plot summary: A female reporter runs into a hitchhiker that,English
"If the crew behind ""Zombie Chronicles"" ever read this, here's some advice guys: <br /><br />1. In a ""Twist Ending""-type movie, it's not a good idea to insert close-ups of EVERY DEATH IN THE MOVIE in the opening credits. That tends to spoil the twists,",English
"1st watched 8/3/2003 - 2 out of 10(Dir-Brad Sykes): Mindless 3-D movie about flesh-eating zombies in a 3 story within a movie chronicle. And yes, we get to see zombies eating human flesh parts",English
There's tons of good-looking women in this,English
"En route to a small town that lays way off the beaten track (but which looks suspiciously close to a freeway), a female reporter runs into a strange hitch-hiker who agrees to help direct her to her destination. The strange man then",English
"Without wishing to be a killjoy, Brad Sykes is responsible for at least two of the most dull and clichéd films i've ever seen - this being one of them, and Camp Blood being another.",English
My girlfriend once brought around The Zombie Chronicles for us to watch as a joke. Little did we realize the joke was on her for paying £1 for it. While watching this film I started to come up with things I would rather be doing than watching The,English
"Amateur, no budget films can be surprisingly good ... this however is not one of them.<br /><br />Ah, another Brad Sykes atrocity. The acting is hideous, except for Emmy Smith who shows some promise.",English
OK its not the best film I've ever seen but at the same time I've been able to sit and watch it TWICE!!! story line was pretty awful and,English
"Some films that you pick up for a pound turn out to be rather good - 23rd Century films released dozens of obscure Italian and American movie that were great, but although Hardgore released some Fulci films",English
"I received this movie as a gift, I knew from the DVD cover, this movie are going to be bad.After not watching it for more than a year I finally watched it. what a pathetic movie",English
I have not,English
"..Oh wait, I can! This movie is not for",English
"You have to admire Brad Sykes even if you don't particularly want to, a man who churns out budget horror after budget horror to less than enthusiastic receptions. But keeps on doing it all the same. Even the half-hearted praise than",English
"THE ZOMBIE CHRONICLES <br /><br />Aspect ratio: 1.33:1 (Nu-View 3-D)<br /><br />Sound format: Mono<br /><br />Whilst searching for a (literal) ghost town in the middle of nowhere, a young reporter (Emmy Smith) picks up a grizzled hitchhiker (Joseph Haggerty) who tells her two stories involving flesh-eating zombies",English
"A woman asks for advice on the road to reach a mysterious town, and hears two ghoulish stories from the local weirdo, both zombie related. But perhaps fate has something nasty in store for her too...<br /><br />The Zombie Chronicles is absolutely one of the worst films I have",English
"Really, I can't believe that I spent $5 on this movie. I am a huge zombie fanatic and thought the movie couldn't be that bad. It had zombies in it right? Was I wrong! To be honest the movie had it's moments...I thought it was cool",English
"I rented this movie about 3 years ago, and it still stands out in my mind as the worst movie ever made. I don't think I ever finished it. It is worse than a home video",English
:Spoilers:<br /><br />I was very disappointed in Love's Abiding Joy. I had been waiting a really long time to see it and I finally got the chance when it re-aired Thursday night on Hallmark. I love the,English
I've seen all four of the movies in this series. Each one strays further,English
I very much,English
"I have read all of the Love Come Softly books. Knowing full well that movies can not use all aspects of the book,but generally they at least have the main point of the book. I was highly",English
"As a Southern Baptist, it pains me that I must give a below average rating to an overtly Christian movie. There certainly aren't so many",English
WARNING: This review contains SPOILERS. Do not read if you don't want some points revealed to you before you watch the film.<br,English
"As a kid I did think the weapon the murderer wielded was cool, however I was a kid and so I was a bit dumb. Even as a dumb kid though the movies plot was stupid and a bit",English
"Jill Dunne (played by Mitzi Kapture), is an attractive, nice woman, over-whelmed by a smart-mouthed teenage daughter, Liv (Martha MacIsaac) and a petty, two-timing husband, Sean (Rick Roberts),",English
"This movie sucked. It really was a waste of my life. The acting was atrocious, the plot completely implausible. Long, long story short, these people get ""terrorized"" by this pathetic ""crazed killer"", but completely fail to fight back in any manner. And this is after they take a raft",English
Lifetime did it again. Can we say stupid? I couldn't,English
I have to say I,English
The original book of this was set in the 1950s but that won't do for the TV series because most people watch for the 1930s style. Ironically the tube train near the end,English
The annoying mouse and lullaby,English
"I saw this film opening weekend in Australia, anticipating with an excellent cast of Ledger, Edgerton, Bloom, Watts and Rush that the definitive story of Ned Kelly would unfold before me. Unfortunately, despite an outstanding",English
I saw this at the premiere in,English
"Ned Kelly (Ledger), the infamous Australian outlaw and legend. Sort of",English
"They constructed this one as a kind of fantasy Man From Snowy River meets Butch Cassidy and the Sundance kid, and just for a romantic touch Ned and Joe get to play away with high",English
This has to be the worst piece of garbage I've seen in a while.<br /><br />Heath Ledger is,English
"If the term itself were not geographically and semantically meaningless, one might well refer to ""Ned Kelly"" as an ""Australian Western."" For the people Down Under, Ned",English
"This movie was so unrelentingly bad, I could hardly believe I was watching it. The directing, editing, production, and script all seemed as though they had been done by junior high school students who don't know",English
"This movie never made it to theaters in our area, so when it became available on DVD I was one of the first to rent",English
"I thought this was a very clunky, uninvolving version of a famous",English
Ned aKelly is such an important,English
"From the very beginning,",English
I guess,English
I don't quite get the rating for The Amati Girls and I think I was REALLY kind giving it,English
This movie was awful. The ending was absolutely horrible. There was no plot to the movie whatsoever. The only thing that was,English
"Holy crap. This was the worst film I have seen in a long time. All the performances are fine, but there is no plot. Really! No plot! A",English
"SWING! is an important film because it's one of the remaining Black-produced and acted films from the 1930s. Many of these films have simply deteriorated so badly that they are unwatchable, but this one is in fairly good shape. It's also a nice chance",English
"There's not a drop of sunshine in ""The Sunshine Boys"", which",English
I like Goldie Hawn and wanted,English
Protocol is an implausible movie whose only saving grace is that it stars Goldie Hawn along with a good cast of supporting actors. The story revolves around a ditzy cocktail waitress who becomes famous after inadvertently saving the life of an Arab dignitary. The story goes,English
"When an attempt is made to assassinate the Emir of Ohtar, an Arab potentate visiting Washington, D.C., his life is saved by a cocktail waitress named Sunny Davis. Sunny becomes a national heroine and media celebrity and as a reward is offered a job working for the",English
"What does the "" Executive producer "" do in a movie . If I remember correctly it's the person who raised the financial backing to make the movie . You might notice in a great number of movies starring Sean Connery that he is also the executive producer which",English
Outlandish premise that rates low,English
There are only two movies I would give a 1/10,English
The only good thing about this movie was the shot of Goldie Hawn standing in her little french cut bikini panties and struggling to keep a dozen other depraved women from,English
"I'm studying Catalan, and was delighted to find El Mar, a movie with mostly Catalan dialogue, at",English
"I was excited to view a Cataluña´s film in the Berlin´s competition. But after the presentation I was total disappointed and furious. Too much blood, too much time, too",English
this film was a major letdown. the level of relentless cruelty and violence in this film was very disturbing. some scenes were truly unnecessarily ugly and mean-spirited. the main characters were impossible to identify with or even sympathize with. the lead protagonist's,English
"Three part ""horror"" film with some guy in a boarded up house imploring the viewer not to go ""out there"" and (unfortunately) gives us three tales to prove why.<br /><br />The first story involves a young couple in a car accident who meet up with two psychos. It",English
"A very cheesy and dull road movie, with the intention to be hip and modern, shown in the editing style and",English
"There are some nice shots in this film, it catches some of the landscapes with such a beautiful light, in fact the cinematography is",English
"When a man who doesn't have Alzheimer's can't remember how many films he's made, he probably is the world's most prolific director",English
I have been looking for this film for ages because it is quite rare to find as it was one of the video nasties. I finally found it on DVD at the end of last year it is a,English
As the number,English
"Not sure if I'm referring to those who labeled this a video nasty or to the director...""Devil Hunter"" sure is one bizarre 'horror' movie.<br /><br />The plot is a loosey goosey combo of superior films like ""Cannibal Ferox"" and ""Cut and Run."" Chick gets kidnapped",English
"This video nasty was initially banned in Britain, and allowed in last November without cuts.<br /><br />It features the Playboy Playmate of the Month October 1979, Ursula Buchfellner. The opening cuts back and forth between Buchfellner and foggy jungle pictures. I am not sure what",English
"Of the three titles from Jess Franco to find their way onto the Official DPP Video Nasty list (Devil Hunter, Bloody Moon and Women Behind Bars) this is perhaps the least deserving of notoriety, being a dreadfully dull jungle clunker enlivened only very",English
"How can you tell that a horror movie is terrible? when you can't stop laughing about it of course! The plot has been well covered by other reviewers, so I'll just add a few things on",English
A model named Laura is working in South America when she is kidnapped from her hotel room by a gang and taken into the jungle. They demand a huge ransom for her release. Peter is hired to get her home safe and there is a bonus in,English
An actress making a movie in Africa is kidnapped and,English
"or anyone who was praying for the sight of Al Cliver wrestling a naked, 7ft tall black guy into a full nelson, your film has arrived! Film starlet Laura Crawford (Ursula Buchfellner) is kidnapped by a group who demand the ransom of",English
Devil Hunter gained notoriety for the fact that it's on the DPP,English
"This film seemed way too long even at only 75 minutes. The problem with jungle horror films is that there is always way too much footage of people walking (through the jungle, up a rocky",English
"Sexo Cannibal, or Devil Hunter as it's",English
"Not only is it a disgustingly made low-budget bad-acted movie, but the plot itself is just STUPID!!!<br /><br />A mystic man that eats women?",English
This is the worst thing the TMNT franchise has ever spawned. I was,English
"Sometime in 1998, Saban had acquired the rights to produce a brand-new Ninja Turtles live-action series. Naturally, being a fan of the TMNT back in the day, this obviously peaked my interest. So when I started",English
"This is the biggest insult to TMNT ever. Fortunantely, officially Venus does not exist in canon TMNT. There will never be a female turtle, this took away from the tragic tale",English
I did not like the idea of the female turtle at all since 1987 we knew the TMNT to be four brothers with their teacher Splinter and their enemies and each one of,English
I cannot stay indifferent to Lars van Trier's films. I consider 'Breaking the,English
"This film is terrible. You don't really need to read this review further. If you are planning on watching it, suffice to say - don't (unless you are studying how not to make a good movie).<br /><br />The acting is",English
Terrible movie. Nuff Said.<br /><br />These Lines are Just Filler. The movie was bad. Why I have to expand on that I don't know. This is already a waste of my time. I,English
"Assuming this won't end up a straight-to-video release, I would have to say void this title at all costs. Unless",English
Sometimes a movie is,English
I have,English
I rented this one on DVD without any prior knowledge. I was suspicious seeing Michael Madsen appearing in a movie I have never heard,English
I saw this DVD in my friends house and thought that this,English
What was with all the Turkish actors? No offense but I thought it was all for nothing for all these actors.,English
"This movie was terrible. at first i just read the plot summary and it looked OK, so i watched it. The acting was TERRIBLE. it was like the actor were",English
"I am a big fan of Arnold Vosloo. Finally seeing him as the star of a recent movie, not just a bit part, made me happy.<br /><br />Unfortunately I took film appreciation",English
This is an art film that was,English
"Nine minutes of psychedelic, pulsating, often symmetric abstract images, are enough to drive anyone crazy. I did spot a full-frame eye at the start, and later some birds silhouetted against other colors. It was just not my cup",English
There are lots of extremely good-looking people in this movie. That's probably the best thing about it. Perhaps that even makes it worth,English
This is it. This is the one. This is the worst movie ever made. Ever. It beats everything. I have never seen worse. Retire the trophy and give,English
There are times when finishing a film one wishes to,English
"Weak plot, predictable violence, only semi interesting characters. Like the writer (also one of the stars?) was fictionalizing his own screw ups and added an incredulous fantasies of drugs and murder to make it ""hot"". From the predictable rap and house soundtrack, to",English
All I could think of while watching this movie was B-grade slop. Many have spoken about it's redeeming quality is how this film portrays such a realistic representation of the effects,English
"If you look at Corey Large's information here on IMDb, apparently there's a movie called ""Reload"" in production (as of June '08) in which he's playing a character named Sebastian Cole.<br /><br />First of all, how",English
This film,English
"This is one of the dumbest films, I've ever seen. It rips off nearly ever type of thriller and manages to make a mess",English
"6/10 Acting, not great but some good acting.<br /><br />4/10 Director, makes some stupid decisions for this film.<br /><br />2/10 Writer, story makes no sense at all and has huge amount of flaws.<br /><br />4/10 Overall score for this movie.<br /><br />Don't waste your",English
This is really a new low in entertainment. Even though there are a lot worse movies out.<br /><br />In the,English
"From the beginning of the movie, it gives the feeling the director",English
I basically skimmed through the movie but just,English
This fanciful horror flick has Vincent Price playing a mad magician that realizes his vocational talents have been sold to another. He devise ways of avenging all those that have wronged him. His master scheme seems to back fire,English
"If I had not read Pat Barker's 'Union Street' before seeing this film, I would have liked it. Unfortuntately",English
"I saw the capsule comment said ""great acting."" In my opinion, these are two great actors giving horrible performances, and with zero chemistry with one another,",English
Robert DeNiro plays the most unbelievably intelligent illiterate,English
Story of a man who has unnatural feelings for a pig. Starts out,English
"Are you familiar with concept of children's artwork? While it is not the greatest Picasso any three-year-old has ever accomplished with their fingers, you encourage them to do more. If painting is what makes them happy, there",English
"Ah, Bait. How do I hate thee? Let me count the ways. 1. You try to be funny, but are corny and unenjoyable; every joke is predictable and expected, and when it comes, does not inspire laughter. Instead, I",English
The premise of the movie has been explained and if you've gotten this far you don't me to pretend that I'm a movie critic. With that being said my own opinion of the movie is quite low. I'm a fan of Takashi Miike but this goes down in the,English
"Uninspired direction leaves a decent cast stranded in a handsome but bland adaptation, in which dialogue seems recited rather than heartfelt, and cash strapped appearances by the ghosts fail to round",English
I was sooooo excited to,English
"Having seen three other versions of the same film, I am afraid for me this is by far the weakest, primarily due to Scott's rather dull and leaden performance. His emotions throughout are so",English
Saw this movie in my English class this afternoon and was surprised by how bad this version was. Don't get,English
When will the,English
"It was 9:30 PM last night at my friend's camping trailer and we were so hyped to watch South Park (a new episode). The thing is, in my country, South Park airs at 10:30 PM and we decided to kill time by watching the show now",English
"This is blatantly a futuristic adaptation of Jules Verne's ""Mysterious Island"". The sound editing is pretty bad. You hear the dialogue on",English
Beyond a shadow of a doubt Mysterious Planet is one of the worst movies ever,English
The silent one-panel cartoon Henry,English
William Russ is the main character throughout this made for TV movie. He left his family behind to,English
From a poorly contrived plot line,English
"In director Sooraj Barjatya's Vivah,20-something Delhi boy Shahid Kapur finds himself smitten by the demure, small-town girl his father has selected for him to marry. Drawn to her innocence and simplicity, Shahid",English
"I never like to comment on a good film but when it comes to a bad movie, I gotta come really hard on it. Talking about Vivah, this guy, Sooraj Badjatya,",English
I won't say this movie,English
"A Cinderella story made for adults who live in dreamland. The romance is very unrealistic, fluttery, lovey dovey, perfect etc. The Cinderella plot till the very end",English
"After being hugely entertained by Mr. Brosnan's performance as a cad in ""The Tailor of Panama"" (which I rate 10/10 across the board: casting, acting, script, story,",English
"I very nearly walked out, but I'd paid my money, and my nearly-as-disgusted friend wanted to hold out. After the endearing, wide-eyed innocence of ""A New Hope"" and the thrilling sophistication of ""The Empire Strikes Back,"" I remember awaiting ""Return",English
"The fine cast cannot uplift this routine tale of a secretary murdered by her married paramour. In fact there are more questions than answers in this one-sided tale of romance and murder; and since we are only provided with the prosecution's side, none of these questions will",English
